Name	address line 1	address line 2	city	state	postcode	phone	web	image
1825 Interiors Bathurst	Shop 1 & 2	170 Sydney Rd	KELSO	NSW	2795	02 6332 1137		
1825 Interiors Fyshwick	Unit 3 / 12 Albany St		FYSHWICK	ACT	2609	02 6280 9040		
1825 Interiors Kelso	Shop 1 & 2 	170 Sydney Road	KELSO	NSW	2795	02 6332 1137		
1825 Interiors Penrith	88 Mulgoa Rd		PENRITH	NSW	2750	02 4721 3382		
1825 Interiors Rutherford	"Shop 5, Hunter Supa Ctr"	343 New England Hwy	RUTHERFORD	NSW	2320	02 4931 9480		
1825 Interiors Tamworth	Shop 2	31-41 The Ringers Rd	TAMWORTH	NSW	2340	02 6762 1341		
1825 Interiors Wagga Wagga	75 Morgan St		WAGGA WAGGA	NSW	2650			
2157 Fine Gifts & Homewares	Shop 17	930 Old Northern Rd	GLENORIE	NSW	2157	02 9652 2157		
A W Smith & Sons	5-9 Roughead St		LEONGATHA	VIC	3953	03 5662 4622		
Abode Living & Giving	52 Firebrace St		HORSHAM	VIC	3400	03 5382 4600		
abodeemporium.com.au								
Acquire Home Living	PO Box 4213		EAST BUNBURY	WA	6230	08 9791 8830		
Alfresco Emporium	1021 Pittwater RD		COLLAROY	NSW	2097	02 9972 1148		
Amali Gifts & Accessories	53 Ormerod St		NARACOORTE	SA	5271	08 8762 1336		
Ancient Moods	5 Moore St		MOE	VIC	3825	03 5126 1172		
Anderson's  Curtains	Shop 4/1 Enterprise St		BUNDERBERG	QLD	4670	07 4151 5757		
Archipelago Lifestyle	488 Scarborough Beach Rd		OSBORNE PARK	WA	6017	08 9288 8100		
Artemis Interiors	PO Box 235		CARRINGTON	NSW	2294	0411 733 088		
At Home Furniture Mandurah	3 Canton Fairway		MANDURAH	WA	6210	08 9581 8880		
Atherton Decor Centre	13 Main St		ATHERTON	QLD	4883	07 4091 1016		
Atmosphere Furniture & Electrical	3 Scant St		EMERALD	QLD	4720	07 4987 7373		
Back To Bed	207 Barkly St		ST KILDA	VIC	3182	03 95347643		
Beautiful Era Gifts	24A Napoleon St		COTTESLOE	WA	6011	08 9385 5004		
Bed Bath Linen	321 Chisholm Rd		AUBURN	NSW	2144	02 9738 8126		
Beds R Us Coffs Harbour	"Shop 14 , Homebase Centre,"	Pacific Highway	COFFS HARBOUR	NSW	2450	02 6652 9901		
Bedshed Morayfield	PO Box 655		MORAYFIELD	QLD	4506	07 5433 1688		
"Berkowitz Furniture, Blackburn"	226 Whitehorse Rd		BLACKBURN	VIC	3130	03 9894 1611		
Big Brand Outlet Blacktown	Shop 10-11/19 Stoddart Rd		PROSPECT	NSW	2148	02 9631 0991		
Birch Living	288 Queens Pde		CLIFTON HILL	VIC	3068	03 9482 1500		
"Bliss Candles, Giftware, Homeware, Coffee & Cake"	2/24 Holland St		KINGSTON SE	SA	5275	08 8767 3182	www.blisskingston.com.au	
Botanical Grace	419 Fairfield Rd		YERONGA	QLD	4104	07 3848 6655		
Boutique	81 Lorimer St		DOCKLANDS	VIC	3008	03 9674 4500	boutiquehomes.com.au	
Brentwood Interiors	Shop 42	Westfield Shopping Ctr	NORTH ROCKS	NSW	2151	02 9871 5551	www.brentwoodinteriors.net.au	
Bridge Discount Furniture	180 Parramatta Rd		AUBURN	NSW	2144	02 9748 3744		
Burning Log Megacentre	PO Box 708		FYSHWICK	ACT	2609	02 6280 6021	www.burninglog.com.au	
Cadeaux Avec Cafe	Shop 5	204 Birdwood Rd	GEORGES HALL	NSW	2198	02 8764 1963		
Cafe Buderim	4/56 Burnett St		BUDERIM	QLD	4556	0410 564 364		
Cairns Curtain Craft	72 Pease St		MANUNDA	QLD	4870	07 4053 6122		
Calenluca	41 Chapman Parade		FAULCONBRIDGE	NSW	2776	0431 410 946		
Candleberries	Shop 6	96 Queen St	BERRY	NSW	2535	02 4464 3487		
Candlebliss	3563 Princes Hwy		BUNYIP NORTH	VIC	3815	03 5629 5314		
Cape Winds San Remo	Shop 7	157-159 Marine Parade	SAN REMO	VIC	3925	03 5678 5185		
Capricorn Flowers	Rear 338 Gr Eastern Hwy		MIDLAND	WA	6107	0437 771 157		
Charlie Mac	274 Bay St		BRIGHTON	VIC	3186	03 9596 9441	www.charliemac.com.au	
Chrysalis Interiors & Homewares	61 Hutchinson St		REDHEAD	NSW	2290	0409 741 636		
Cinnamon Homewares and Gifts	Shop 9b Bayview Market	5 Opal Drive	BLACKMANS BAY	TAS	7052	03 6239 3506		
Cohuna Papers Plus	57 King George St		COHUNA	VIC	3568	03 5456 2219		
Coogans Stores	79 Collins Street		HOBART	TAS	7000	03 6233 1888		
Country Interiors	535 High St		PENRITH	NSW	2750	02 4732 5700		
CumQuat Junction	1B Campbell St		YARRAGON	VIC	3823	03 5634 2532		
Curro Interiors & Acquistions	32 Dorrigo St		STAFFORD HEIGHTS	QLD	4053	07 3359 6666		
Curtain Showcase	P O Box 5344		BUNDABERG	QLD	4670	07 4152 5515		
Cushy Cushions	Suite 698	83-93 Dalmeny Ave	ROSEBERY	NSW	2018	0423 632 605	www cushycushions.com.au	
Dalby Furniture Court	109-113 Cunningham St		DALBY	QLD	4405	07 4662 1187		
Design Curtains	PO Box 6123	Baulkham Hills Business Ctr	BAULKHAM HILLS	NSW	2153	02 9894 0400		
Desi's Fabrics & Blinds	228 Parker St		COOTAMUNDRA	NSW	2590	02 6942 1185		
Divine Designs Furniture and Decorating	1/1 Sydenham Road		BROOKVALE	NSW	2100	02 9905 9944		
Dreamland Bedding Marion	Shop 14	941-945 Marion Rd	MITCHELL PARK	SA	5043	08 8377 4377		
Eb and Flo	91 Goulburn St		WEST HOBART	TAS	7000	03 6231 1109	www.ebandflo.com.au	
Eureka Street Furniture	1021 Beaudesert Rd		ARCHERFIELD	QLD	4108	07 3717 7600	www.eurekastreetfurniture.com.au	
Exotic Chic	17 Byron St		INVERELL	NSW	2360	02 6721 2030		
Firefly Interiors	60 Vulcan St		MOORUYA	NSW	2537	02 4474 0449		
Forty Winks Bundall	PO Box 6150		BUNDALL	QLD	4217	07 5531 5470		
Forty Winks Horsham	46-48  Pynsent Street		HORSHAM	VIC	3400	03 5381 1707		
Forty Winks Joondalup	Shop 45 Joondalup Gate	75 Joondalup Drive	JOONDALUP	WA	6027	08 9301 2022		
Forty Winks Liverpool	Crossroads Homemaker Centre	Shop 2	CASULA	NSW	2170	02 9824 2133		
Forty Winks Nowra	"Shop 2, The Central Corner"	Central Ave	NOWRA	NSW	2541	02 4423 2222		
French Chateau	Shop 7A	113-145 Hunter St Mall	NEWCASTLE	NSW	2300	02 4926 2277		
Fresh Décor	33 Belmore St		YARRAWONGA	VIC	3730	03 5743 3555		
Furniture Plus	Shop 2	552 Church St	PARRAMATTA	NSW	2151	02 9683 5570		
Furniture4U	142 St Vincent St		ULLADULLA	NSW	2539	02 4454 2270	www.yourfurniture.com.au	
Gifts & Fragrances	24/63 The Boulevarde		TORONTO	NSW	2283	02 4959 4668		
Glamour Living	"Shop 84, Sth Building"	Home Hub Hills	CASTLE HILL	NSW	2154	02 8850 1777	www.glamourliving .com	
Globe Interiors	PO Box 5914		Gold Coast Mail Centre	QLD	9726	07 5532 4350	www.globeinteriors.com.au	
Harlequin Design	915 Macarthur St		LAKE WENDOUREE	VIC	3350	03 5333 4848		
Harlequin Furniture	205 Carr Place		LEEDERVILLE	WA	6007	08 9228 4844		
Heirloom On Victoria	"Shop 3,"	103 Victoria St	EAST GOSFORD	NSW	2250	02 4322 9733		
Hemisphere Living	Shop 27/502	Hope Island Rd	HELENSVALE	QLD	4212	07 5556 0693		
Holy Sheet Campbelltown	"Unit 1, Lot 17"	Blaxland Serviceway	CAMPBELLTOWN	NSW	2560	02 4625 9164		
Home and Haven Manchester	2 Arbor St		ALPHINGTON	VIC	3078	0403 498 568	www.homeandhavenmanchester.com.au	
House of Windsor	"Shop 6, Lachlan Court"	100 George St	WINDSOR	NSW	2756	02 4577 5319		
IM FM Furnishings	103 Gladstone Ave		NORTHCOTE	VIC	3070	0419 309 781		
In House Habits	"Shop 12, Menai Marketplace"	Allison Crescent	MENAI	NSW	2234	02 9543 8922		
Indigo Living	3G Home Central	Kawana Way	BIRTINYA	QLD	4575	07 5493 7166		
Ing Homewares Ballarat	4 Doveton St Sth		BALLARAT CENTRAL	VIC	3350	03 5338 7962		
Ing Homewares Bentleigh	451 Centre Rd		BENTLEIGH	VIC	3204	03 9557 7603	www.inghomewares.com	
Inspire Yourself & Your Home	Shop 7	Old Brisbane Arcade	LAUNCESTON	TAS	7250	03 6331 5004		
Items	434 Fitzgerald St		NORTH PERTH	WA	6006	08 9227 6576		
Jamjo Home and Gifts	37 Murray St		ST MARYS	NSW	2760	02 9833 9270		
Jazz It Up	Shop 1  	18-22 Hurtle Parade	MAWSON LAKES	SA	5095	08 8162 9279		
Jepara Homewares	PO Box 2245	Rosebud Plaza	ROSEBUD	VIC	3939	03 5986 1400		
Just Between Us	Shop 26	Centro Lennox	EMU PLAINS	NSW	2750	4735 5002		
JustBedding.com.au	Unit 46	172 Milperra Rd	REVESBY	NSW	2212	9771 4565		
KaJaVii Interiors	PO Box 264		MT ISA	QLD	4825	07 4743 3097		
Kasama Decor	3/31 The Esplanade		PAYNESVILLE	VIC	3880	03 5156 1209		
Kings Furniture Supermarket	274 Hobart Rd		LAUNCESTON	TAS	7249	03 6344 5577	www.kingsfurniture.com.au	
La Maison Jolie	535 Sydney Rd		SEAFORTH	NSW	2092	02 9907 8488		
La Mar Providore	82 The Esplanade		TURNERS BEACH	TAS	7315	03 6428 3621		
Lavish Abode	325 Main St		LILYDALE	VIC	3140	03 9738 7788	www.lavishabode.com.au	
Leeton Gift Centre	105-107 Pine Ave		LEETON	NSW	2705	02 6953 5570		
Lifestyle Furniture	117 Hector St		OSBOURNE PARK	WA	6017	08 9242 1911		
Lime Gifts & Homewares	145 Hobart Rd		KINGS MEADOW	TAS	7249	03 6344 9338		
Linen of Oz	Shop 7 Kurrajong Rd		CASULA MALL	NSW	2170	02 9602 4000	www.linenofoz.com.au	
Look Images Designer Homewares	4 Coorabin Rd		NORTHBRIDGE	NSW	2063	02 9958 0525		
Love Paris	580 Main St		MORDIALLOC	VIC	3195	03 9588 2112		
Macedon Ranges Home F'shings	145 - 153 Mollison Street		KYNETON	VIC	3444	03 5422 1155		
Magnolia Home and Gift	71 Victoria Street		EAST GOSFORD	NSW	2250	4323 2400		
Maison De Luxe	562 Hume Highway		YAGOONA	NSW	2199	02 8764 4048		
Make Your House a Home	132 High St		BENDIGO	VIC	3550	03 5442 6093	www.makeyourhouseahome	
Minkz	PO Box 199		OSBORNE PARK	WA	6917	08 9242 4277		
Moss Grotto	PO Box 1019		BARWON HEADS	VIC	3227	03 5254 2277		
Mudhoney	Shop 5	32 - 40 O'Conell Street	NORTH ADELAIDE	SA	5006	08 8267 6667		
Mulberry Cards & Gifts	Shop G111 Karrinyup Shop Ctr	200 Karrinyup Rd	KARRINYUP	WA	6018	08 9445 7513		
Must Have Homewares	2 Tamarind Pl		LAKE ALBERT	NSW	2650	02 6926 6849		
Nest Interiors	Shop 4	17-19 Abbott St	EAST LAUNCESTON	TAS	7250	03 6334 2219		
New Age Markets	232-236 Macquarie Road		SPRINGWOOD	NSW	2777	02 4751 6515		
New Farm Hardware	PO Box 125		NEW FARM	QLD	4005	07 3358 4466		
Northern Beaches Kitchens & Interiors	81 Cumberland Ave		COLLAROY	NSW	2097	0414 799 788		
Oliver Birch	21 Bath Lane		BENDIGO	VIC	3550	03 5444 1112		
Outside Square	155 Magill Rd		STEPNEY	SA	5069	08 8363 5363		
Oz Design Furniture Essendon	"Shop 12, Homemakers Hub"	120 Bulla Rd	STRATHMORE	VIC	3041	03 9379 5792		
Oz Design Furniture Hoppers Crossing	Shop 8	Wyndham Homemaker Centre	HOPPERS CROSSING	VIC	3029	03 9748 3044		
Palace Homewares & Antiques	34 George St		LAUNCESTON	TAS	7250	03 6331 7873		
Pelican Sands	157 Scamander Avenue		SCAMANDER	TAS	7215	03 6372 5231		
Pennys Country Corner	203 Bazaar St		MARYBOROUGH	QLD	4650	07 4123 1065		
Prints N Frames	167 Main St		LITHGOW	NSW	2790	02 6351 4800		
Pure & Simple Homewares	"Shop 8, Jacaranda Manor"	New England Highway	HIGHFIELDS	QLD	4352	07 4615 4871		
Rainsfords By Design	2/9 Railway Terrace		GOOLWA	SA	5214	08 8555 0066		
Red Robin	Shop 9 Percy Street		BELLERIVE	TAS	7018	0448 003 636		
Renmark by Design	34 Renmark Ave		RENMARK	SA	5341	08 8586 4404		
Rest N Relax Furniture	Shop 3	333 Gillies St	WENDOUREE	VIC	3355	03 5339 1588		
Rialto Furniture	572 Hume Hwy		YAGOONA	NSW	2199	02 9796 7094		
Riley's Furniture & Carpets	251 Conadilly St		GUNNEDAH	NSW	2380	02 6742 1676		
Ripe Homewares	70 Church St		MUDGEE	NSW	2850	0407 216 202		
Rise + Shine Maribyrnong	PO Box 813		SOUTH MELBOURNE	VIC	3205	03 9317 3445	www.riseandshine.com.au	
Rise + Shine Thomastown	308 Settlement Road		THOMASTOWN	VIC	3074	03 9465 2536		
Riverview Nurseries	31 Forth Rd		DEVONPORT TAS	TAS	7310	03 6424 5847		
Romeo Imports	169 Grange Rd		BEVERLEY	SA	5009	08 8347 2374		
Room for Living	859 Stanley St 	Cnr Wellington Rd	WOOLLOONGABBA	QLD	4102	07 3891 1610		
Sassi Gift Home Living	31A George St		MILLICENT	SA	5280	08 8733 1222		
Shambala Furniture & Homewares	PO Box 711		OSBORNE PARK	WA	6017	08 9242 8977		
Signature Collections	Shop 6	10 Wason St	ULLADULLA	NSW	2539	02 4454 5772		
Snooze Mackay	PO Box 8539		MT PLEASANT	QLD	4740	07 4942 7599		
Southern Comfort Furniture	PO Box 208		RIVERTON	WA	6148	08 9752 2006		
Spaces & Places	129 Magill Rd		STEPNEY	SA	5069	08 7226 0764		
Special Moments	PO Box 4147		PENRITH	NSW	2750	02 4732 1872-Discon		
Style2Life	PO Box 482		PYRMONT	NSW	2009	02 8096 9559		
StyleHouse Designs	4 Strathalbyn Rd		ALDGATE	SA	5154	08 8131 0333		
Sun Patch Giftware	Shop 23	Belmont Citi Centre	BELMONT	NSW	2280	02 4945 1999		
Supreme Furniture	Shop 8	Home Central	BANKSTOWN	NSW		02 8764 1568		
Supreme Furniture	"Shop 86, Level 1"	16 Victoria Ave	CASTLE HILL	NSW	2154	02 8628 0534		
Suri Interior Design	"Shop 21, Cranbourne Homemaker Ctr"	Cnr Thompson Rd & Sth Gippsland Hwy	CRANBOURNE	VIC	3977	0409 890 042 sally		
Talk About Homewares	Shop 2	1 Addison St	SHELLHARBOUR	NSW	2529	02 4297 5480		
The Bedspread Shop	106 Glenferrie Rd		MALVERN	VIC	3144	03 9500 0692		
The Black Hen	90 Emu Bay Rd		DELORAINE	TAS	7304	0437 833 201	www.theblackhen.com	
The Complete Garden Echuca	258 Pakenham St		ECHUCA	VIC	3564	03 5480 7797		
The Complete Garden Young	214 Boorowa St		YOUNG	NSW	2594	02 6382 7940		
The Decorator Room	Shop 2/3-2 Anderson Walk		SMITHFIELD	SA	5114	08 8254 3842		
The Greenery	4 Banksia St		HEIDELBERG	VIC	3084			
The Living Room	156 York St		LAUNCESTON	TAS	7250	03 6334 1900	www.thelivingroom.com.au	
The Manchester Warehouse	140 - 150 Rocky Point Rd		KOGARAH	NSW	2217	02 9587 3629		
The Painted Interior	838 King Georges Road		SOUTH HURSTVILLE	NSW	2221	02 9546 5988		
The Swish Gallery	29 Talbragar St		DUBBO	NSW	2830	02 6882 9528		
The Vast Interior Albury	Shop4	Harvey Norman Centre	ALBURY	NSW	2640	02 6023 2922		
The Vast Interior Hervey Bay	Shop 1	123 Boat Harbour Drive	PIALBA	QLD	4655	07 4191 4970		
The Vast Interior North Mackay	Shop 8 	12 Heaths Rd	NORTH MACKAY	QLD	4740	07 4942 7388	www.vastinterior.com.au	
The Vast Interior Redcliffe	177 Redcliffe Parade		REDCLIFFE	QLD	4020	07 3284 3222		
The Vast Interior Townsville	12 Heaths Rd		NORTH MACKAY	QLD	4740	07 4725 0777		
The White House	PO Box 65		NOOSAVILLE	QLD	4566	07 5474 2377	www.thewhitehousenoosa.com.au	
Tracies Gift & Homewares	20 Smith St		KEMPSEY	NSW	2440	02 6562 7846		
Treasured Interiors	Shop 1-2	100 Musgrave St	COOLANGATTA	QLD	4225	07 5536 5233		
Trendy Furnishings/Interiors	"Shop 20, Hub Arcade"	15-23 Langhorne St	DANDENONG	VIC	3175	03 9792 2850		
Tully Drapery	30 Butler St		TULLY	QLD	4854	07 4068 0488		
U-Nique Homewares & Design	25 Murray St		COMO	WA	6152	08 9474 6220		
Urban Appliances & Furniture	15 Puckle Street		MOONEE PONDS	VIC	3039	03 9370 5115		
Verandah House	Shop 1	235 Boundary St	WEST END	QLD	4101	07 3846 6881		
Vybe Interiors	6 Steamer Place		CURRANS HILL	NSW	2567	0420 925 762		
Wandalite Lighting Showroom	60 John St		CAMDEN	NSW	2570	02 4655 8140		
Wicked Homewares	371-375 Warrigal Road		CHELTENHAM	VIC	3192	0449 954 642		
Woodwards Curtains & Blinds	84 Macleod St		BAIRNSDALE	VIC	3875	03 5152 2077		
Wrapped Wonders	"Shop 6, The Market Place"	Hibberson St	GUNGAHLIN	ACT	2912	02 6262 2977		
Yen Concept	686 Glenferrie Rd		HAWTHORN	VIC	3122	03 9819 3411		
